condition,snr_db,model,accuracy,macro_f1,total_beats,N_f1,N_recall,S_f1,S_recall,V_f1,V_recall,F_f1,F_recall,Q_f1,Q_recall
ma,-6.0,ph_only,0.8892043166626399,0.20394394928473583,49668,0.9414028673145387,0.9957031073318559,0.0010660980810234541,0.0005446623093681918,0.07725078102811701,0.04224914569742156,0.0,0.0,0.0,0.0
em,24.0,raw_only,0.9402432149472497,0.5226776472931056,49668,0.967244083670128,0.9552897010267312,0.7236774524910118,0.7674291938997821,0.9197344598672298,0.9468779123951537,0.00273224043715847,0.005154639175257732,0.0,0.0
em,24.0,fusion,0.9488000322139003,0.5159055252384948,49668,0.9723499157980974,0.9662807001673527,0.68996062992126,0.7636165577342048,0.9097264437689969,0.9297918608263436,0.007490636704119851,0.007731958762886598,0.0,0.0
em,24.0,ph_only,0.8987879520012886,0.30826626102802607,49668,0.9462126847030875,0.9637704102401737,0.0010438413361169103,0.0005446623093681918,0.5898819069835254,0.6284560422491458,0.0041928721174004195,0.002577319587628866,0.0,0.0
em,18.0,raw_only,0.941290166706934,0.5225896537992292,49668,0.9679323639442163,0.9566918449500204,0.7231726283048212,0.7598039215686274,0.9175939849624061,0.9478098788443616,0.00424929178470255,0.007731958762886598,0.0,0.0
em,18.0,fusion,0.9472296045743739,0.5123394940325816,49668,0.9714025708110567,0.9656248586548465,0.6861313868613138,0.7423747276688453,0.9041635124905375,0.9276172724448587,0.0,0.0,0.0,0.0
em,18.0,ph_only,0.9017274704034791,0.3097562254307382,49668,0.9478410900725535,0.9690623727893618,0.0010449320794148381,0.0005446623093681918,0.5959347089621189,0.6011183597390494,0.0039603960396039604,0.002577319587628866,0.0,0.0
em,12.0,raw_only,0.9406458887009744,0.5193628903347789,49668,0.9678061049502688,0.9572346103396807,0.711385248008224,0.7538126361655774,0.8991899189918993,0.9310344827586207,0.018433179723502304,0.030927835051546393,0.0,0.0
em,12.0,fusion,0.9456994443102199,0.509692292513999,49668,0.9704696919810625,0.9665520828621829,0.6791343841838098,0.6922657952069716,0.8943630043826507,0.9192295744019882,0.0044943820224719105,0.005154639175257732,0.0,0.0
em,12.0,ph_only,0.901042925022147,0.30797094281298115,49668,0.9475612851955276,0.9707585146320503,0.0010314595152140279,0.0005446623093681918,0.5838131797824696,0.566946256601429,0.007448789571694599,0.005154639175257732,0.0,0.0
em,6.0,raw_only,0.9363574132238061,0.5022306981301367,49668,0.9660289484498423,0.9569406124202813,0.6912165848336062,0.6900871459694989,0.8286161285734605,0.9049394221808015,0.025291828793774316,0.03350515463917526,0.0,0.0
em,6.0,fusion,0.9390150599983893,0.49213013771383085,49668,0.9670247569023874,0.9659640870233841,0.6419753086419753,0.5806100217864923,0.8473169285502521,0.8878533706119913,0.004333694474539545,0.005154639175257732,0.0,0.0
em,6.0,ph_only,0.8923451719416928,0.29929763848013247,49668,0.9426708012845271,0.9659188565742458,0.006018054162487462,0.0032679738562091504,0.5261943986820428,0.49611680646163403,0.021604938271604937,0.01804123711340206,0.0,0.0
em,0.0,raw_only,0.90792864621084,0.4368317211127085,49668,0.9527952016849046,0.9412456465692705,0.5592982456140351,0.4340958605664488,0.6427968655816757,0.8282075178626903,0.029268292682926828,0.030927835051546393,0.0,0.0
em,0.0,fusion,0.9175122815494886,0.4129508776556404,49668,0.9561876169245073,0.9651725541634628,0.4098883572567783,0.27995642701525053,0.6986784140969164,0.739049394221808,0.0,0.0,0.0,0.0
em,0.0,ph_only,0.8736007087058065,0.2605623996333384,49668,0.9331511618938484,0.9576416843819259,0.005547850208044383,0.0032679738562091504,0.35298126064735946,0.3218390804597701,0.011131725417439705,0.007731958762886598,0.0,0.0
em,-6.0,raw_only,0.8588628493194813,0.3093336504797796,49668,0.9288967290420025,0.9110090913202769,0.17988394584139264,0.10130718954248366,0.4378875775155031,0.6800248524386455,0.0,0.0,0.0,0.0
em,-6.0,fusion,0.8890633808488363,0.2901451158133445,49668,0.9436101003418237,0.9676602288660726,0.08993357179356158,0.04793028322440087,0.41718190693133744,0.39826032929481203,0.0,0.0,0.0,0.0
em,-6.0,ph_only,0.8667149875171136,0.21620595802515483,49668,0.9291024873455613,0.9651273237143245,0.003838771593090211,0.002178649237472767,0.14808853118712273,0.11432121776949364,0.0,0.0,0.0,0.0
mix,24.0,raw_only,0.9403036160103084,0.5218468697797689,49668,0.96730560164788,0.9558098511918224,0.718266253869969,0.7581699346405228,0.9209133524875246,0.9459459459459459,0.00274914089347079,0.005154639175257732,0.0,0.0
mix,24.0,fusion,0.9482161552709995,0.5150471497281103,49668,0.9719866592298324,0.9655570129811389,0.6845703125000001,0.7636165577342048,0.9085393599271955,0.9304131717924822,0.010139416983523447,0.010309278350515464,0.0,0.0
mix,24.0,ph_only,0.8992107594426996,0.30962156922928213,49668,0.946492191922219,0.9642905604052648,0.002084418968212611,0.0010893246187363835,0.5912152269399706,0.6272134203168686,0.008316008316008316,0.005154639175257732,0.0,0.0
mix,18.0,raw_only,0.9397801401304663,0.5224788844064212,49668,0.9670666910956395,0.9549504726581935,0.7238095238095239,0.7657952069716776,0.916101822563639,0.9447033240136689,0.005416384563303994,0.010309278350515464,0.0,0.0
mix,18.0,fusion,0.9487396311508416,0.5163321041717838,49668,0.9722083238571753,0.9667556198833055,0.6916729182295573,0.7532679738562091,0.9079027355623099,0.9279279279279279,0.009876543209876545,0.010309278350515464,0.0,0.0
mix,18.0,ph_only,0.9045864540549247,0.31288892297894755,49668,0.9495514208688735,0.9717988149622325,0.0020887728459530026,0.0010893246187363835,0.6086550435865504,0.6073314694004349,0.004149377593360996,0.002577319587628866,0.0,0.0
mix,12.0,raw_only,0.9420149794636385,0.5208318361693659,49668,0.968509063495871,0.9587950608349541,0.7216870606612861,0.7549019607843137,0.9031772323445264,0.9316557937247593,0.01078582434514638,0.01804123711340206,0.0,0.0
mix,12.0,fusion,0.9471289361359426,0.5128042778694362,49668,0.9713591626840427,0.9675697679677959,0.6844750066120073,0.7047930283224401,0.8990129081245253,0.9195402298850575,0.009174311926605505,0.010309278350515464,0.0,0.0
mix,12.0,ph_only,0.9051904646855118,0.3114715166221958,49668,0.9495309424043463,0.9762766294269302,0.004149377593360997,0.002178649237472767,0.5953612547972634,0.5542093817955887,0.008316008316008316,0.005154639175257732,0.0,0.0
mix,6.0,raw_only,0.93992107594427,0.5091185078292133,49668,0.96762954444533,0.9609661223935954,0.7056253413435281,0.7037037037037037,0.8444769568397952,0.896551724137931,0.027860696517412933,0.03608247422680412,0.0,0.0
mix,6.0,fusion,0.9414915035837964,0.4930975645165289,49668,0.9681729944472033,0.9700122122212673,0.6406484539177424,0.5811546840958606,0.8542682926829269,0.8704566635601119,0.002398081534772182,0.002577319587628866,0.0,0.0
mix,6.0,ph_only,0.8986268824997987,0.298328322841194,49668,0.9461108063631377,0.9751458681984713,0.0030816640986132513,0.0016339869281045752,0.5357713474170069,0.46877912395153776,0.00667779632721202,0.005154639175257732,0.0,0.0
mix,0.0,raw_only,0.9178746879278409,0.44990993906598264,49668,0.9577570433339774,0.9529377176715365,0.5928163813360188,0.4809368191721133,0.6720945502298096,0.7949673811742777,0.026881720430107527,0.02577319587628866,0.0,0.0
mix,0.0,fusion,0.9248409438672788,0.430618358729275,49668,0.960141085600116,0.9726808087204306,0.4610117915557247,0.3300653594771242,0.7201742106081815,0.7191674433053743,0.011764705882352941,0.010309278350515464,0.0,0.0
mix,0.0,ph_only,0.8852178465007651,0.2574952600589733,49668,0.9394078044316622,0.9750780225247637,0.0009881422924901185,0.0005446623093681918,0.3392678535707141,0.2634358496427462,0.0078125,0.005154639175257732,0.0,0.0
mix,-6.0,raw_only,0.8793790770717564,0.32983100157373235,49668,0.9402539208364451,0.9395947351757203,0.2432432432432432,0.14215686274509803,0.45059193041797535,0.5793724759242,0.015065913370998116,0.010309278350515464,0.0,0.0
mix,-6.0,fusion,0.8968148506080373,0.3009106951788287,49668,0.9469099186849508,0.9783572300872948,0.13240418118466898,0.0724400871459695,0.42120711796000737,0.356632494563529,0.004032258064516129,0.002577319587628866,0.0,0.0
mix,-6.0,ph_only,0.87968108238705,0.21381699366423215,49668,0.9362404166531879,0.9817947442218101,0.0020607934054611026,0.0010893246187363835,0.1307837582625118,0.0860515688101895,0.0,0.0,0.0,0.0
